Date,Age,Gender,Height (cm),Weight (kg),Steps_Taken,Calories_Burned,Hours_Slept,Water_Intake (Liters),Active_Minutes,Heart_Rate (bpm),Workout_Type,Stress_Level (1-10),Mood,activity_intensity
2023-01-01,-1.7668751220154169,Female,1.2685522862335097,-0.2703187664594386,0.071088609619846,-1.2236545037720663,0.3872947523785739,0.9690745907433226,0.22284840253284813,0.39184417443756936,Yoga,-1.2144326391437688,Happy,low
2023-01-02,-1.7668751220154169,Female,1.2685522862335097,-0.2703187664594386,-0.7735844161000908,-1.3010191977698815,0.0056717436014655735,0.5012969849704588,-1.0795334550645106,-0.6757714241867935,Cardio,1.214946089051098,Neutral,low
2023-01-03,-1.7668751220154169,Female,1.2685522862335097,-0.2703187664594386,1.519621168175287,-0.6544713979309973,1.2281209516345035,1.488800421976322,-1.1189995719614003,0.48081214098959957,Yoga,0.1737837769675836,Sad,low
2023-01-04,-1.7668751220154169,Female,1.2685522862335097,-0.2703187664594386,0.5271543866467879,-0.1267336638744721,0.7043424580269242,1.0636625502470847,1.2095013249550894,-0.23093159142664232,Yoga,-1.2144326391437688,Sad,high
2023-01-05,-1.7668751220154169,Female,1.2685522862335097,-0.2703187664594386,-0.15146687702035574,1.1373501755541156,-0.9975980246820058,,-0.8427367536831726,-1.654419056259126,Yoga,0.8678919850232598,Sad,moderate
2023-01-06,-1.7668751220154169,Female,1.2685522862335097,-0.2703187664594386,-1.1443180376276807,-0.8050562487481733,0.0056717436014655735,-1.5240259927957274,-0.05341441574537948,0.03597230822944839,Yoga,1.562000193078936,Happy,low
2023-01-07,-1.7668751220154169,Female,1.2685522862335097,-0.2703187664594386,0.20043216964476465,-1.3700948174107879,1.8264270018548794,-0.05748488500194604,-1.5925929747240761,-0.853707357290854,Cardio,-1.5614867431716069,Neutral,low
2023-01-08,-1.7668751220154169,Female,1.2685522862335097,-0.2703187664594386,1.400655843278668,0.5792191688555917,0.31680726216602656,-0.20614042644588337,1.0911029742644205,0.7477160406456903,Yoga,-0.8673785351159307,Neutral,high
2023-01-09,-1.7668751220154169,Female,1.2685522862335097,-0.2703187664594386,-1.6661126371338533,-0.5577655304337282,-1.0893013559052138,1.4695068803006874,-0.013948298848489821,-0.49783549108273306,Cardio,-0.1732703270602545,Stressed,low
2023-01-10,-1.7668751220154169,Female,1.2685522862335097,-0.2703187664594386,0.11606096184247745,0.7394746064224945,1.5591574509139459,-1.0061967083108474,1.604162493923986,0.03597230822944839,Yoga,0.8678919850232598,Neutral,high
